Product Name, Price
Nike Blazer Mid '77 Vintage,$57.97,https://www.nike.com/t/blazer-mid-77-vintage-mens-shoe-flCCX4/BQ6806-106
Nike Air Max 2090,$102.97,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,$101.97,https://www.nike.com/t/air-max-2090-mens-shoe-3pVM46/BV9977-101
Nike Air Max 2090,$69.97,https://www.nike.com/t/air-max-2090-big-kids-shoe-5ZxgsL/CJ4066-101
Nike Air Max 2090,$75.97,https://www.nike.com/t/air-max-2090-little-kids-shoe-GPBmd9/CU2093-101
Nike Air Max 90 Twist,$105.97,https://www.nike.com/t/air-max-90-twist-womens-shoe-kSTTrQ/CV8110-100
Nike React Infinity Run Flyknit,$106.97,https://www.nike.com/t/react-infinity-run-flyknit-womens-running-shoe-c54NMG/CD4372-002
Nike Air Max 270 React,$102.97,https://www.nike.com/t/air-max-270-react-mens-shoe-bZ8t5l/AO4971-004
Nike Air Max Verona,$89.97,https://www.nike.com/t/air-max-verona-womens-shoe-JF64LJ/CZ6156-102
Nike Air Max 270 React,$107.97,https://www.nike.com/t/air-max-270-react-womens-shoe-trW1vK/CJ0619-100
Nike Air Zoom Pegasus 36,$72.97,https://www.nike.com/t/air-zoom-pegasus-36-womens-running-shoe-ksw5Hx/AQ2210-004
Nike DBreak-Type,$56.97,https://www.nike.com/t/dbreak-type-mens-shoe-wMBPXR/CJ1156-100
Nike Air Max 270 Special Edition,$64.97,https://www.nike.com/t/air-max-270-special-edition-shoe-2ST4kX/CQ6549-001
Nike Air Max 270 React,$92.97,https://www.nike.com/t/air-max-270-react-big-kids-shoe-75vzh1/CU6697-001
Nike Air Max 90 LTR,$72.97,https://www.nike.com/t/air-max-90-ltr-big-kids-shoe-1wzwJM/CD6864-103
Nike Metcon 5,$86.97,https://www.nike.com/t/metcon-5-womens-training-shoe-2xvQ6H/AO2982-081
Nike Vista Lite,$72.97,https://www.nike.com/t/vista-lite-womens-shoe-f347DR/CI0905-103
Nike Air Max 97 Essential,$153.97,https://www.nike.com/t/air-max-97-essential-womens-shoe-XD9m01/CZ6087-101
Nike Air Max 90,$108.97,https://www.nike.com/t/air-max-90-womens-shoe-g5nqKN/CT1039-100
Kyrie 6 "Asia Irving",$95.97,https://www.nike.com/t/kyrie-6-asia-irving-basketball-shoe-TlVPK4/CD5031-500
Jordan "Why Not?" Zer0.3,$88.97,https://www.nike.com/t/jordan-why-not-zer03-basketball-shoe-LJCLGj/CD3003-200
Nike Air Max 270 React ENG,$134.97,https://www.nike.com/t/air-max-270-react-eng-mens-shoe-CPRm5W/CD0113-001
LeBron 17,$117.97,https://www.nike.com/t/lebron-17-basketball-shoe-6LSXgh/BQ3177-601
Nike Air Max 270 XX,$143.97,https://www.nike.com/t/air-max-270-xx-womens-shoe-tScKrK/CU9430-001
KD13,$98.97,https://www.nike.com/t/kd13-basketball-shoe-kbKpNV/CI9948-600
Zoom Freak 1,$67.97,https://www.nike.com/t/zoom-freak-1-basketball-shoe-tmk8Hw/BQ5422-101
Nike React Vision,$78.97,https://www.nike.com/t/react-vision-big-kids-shoe-BSvVZv/CD6888-401
